,站點,城市,aqi,狀態,pm25
110,嘉義,嘉義市,64.0,普通,21.0
111,臺西,雲林縣,42.0,良好,13.0
112,朴子,嘉義縣,45.0,良好,14.0
113,新港,嘉義縣,39.0,良好,12.0
114,崙背,雲林縣,49.0,良好,15.0
115,斗六,雲林縣,49.0,良好,15.0
116,南投,南投縣,57.0,普通,18.0
117,二林,彰化縣,25.0,良好,4.0
118,線西,彰化縣,36.0,良好,11.0
119,彰化,彰化縣,26.0,良好,8.0
120,西屯,臺中市,30.0,良好,8.0
121,忠明,臺中市,28.0,良好,6.0
122,大里,臺中市,25.0,良好,7.0
123,沙鹿,臺中市,26.0,良好,5.0
124,豐原,臺中市,25.0,良好,7.0
125,三義,苗栗縣,24.0,良好,2.0
126,苗栗,苗栗縣,25.0,良好,5.0
127,頭份,苗栗縣,25.0,良好,7.0
128,新竹,新竹市,25.0,良好,3.0
129,竹東,新竹縣,26.0,良好,8.0
130,湖口,新竹縣,30.0,良好,7.0
131,龍潭,桃園市,25.0,良好,5.0
132,平鎮,桃園市,27.0,良好,5.0
133,觀音,桃園市,26.0,良好,8.0
134,大園,桃園市,25.0,良好,4.0
135,桃園,桃園市,26.0,良好,4.0
136,大同,臺北市,29.0,良好,3.0
137,松山,臺北市,25.0,良好,5.0
138,古亭,臺北市,26.0,良好,8.0
139,萬華,臺北市,26.0,良好,6.0
140,中山,臺北市,27.0,良好,5.0
141,士林,臺北市,26.0,良好,6.0
142,淡水,新北市,26.0,良好,7.0
143,林口,新北市,36.0,良好,11.0
144,菜寮,新北市,25.0,良好,5.0
145,新莊,新北市,25.0,良好,2.0
146,板橋,新北市,17.0,良好,3.0
147,土城,新北市,25.0,良好,4.0
148,新店,新北市,29.0,良好,9.0
149,萬里,新北市,34.0,良好,2.0
150,汐止,新北市,23.0,良好,5.0
151,基隆,基隆市,30.0,良好,3.0
152,麥寮,雲林縣,48.0,良好,14.0
153,關山,臺東縣,26.0,良好,8.0
154,馬公,澎湖縣,36.0,良好,11.0
155,金門,金門縣,45.0,良好,14.0
156,馬祖,連江縣,69.0,普通,23.0
157,埔里,南投縣,59.0,普通,19.0
158,復興,高雄市,79.0,普通,27.0
159,永和,新北市,26.0,良好,3.0
160,竹山,南投縣,57.0,普通,18.0
161,中壢,桃園市,25.0,良好,4.0
162,三重,新北市,35.0,良好,5.0
163,冬山,宜蘭縣,27.0,良好,2.0
164,臺東,臺東縣,24.0,良好,3.0
165,恆春,屏東縣,35.0,良好,1.0
166,潮州,屏東縣,97.0,普通,34.0
167,屏東,屏東縣,92.0,普通,32.0
168,小港,高雄市,89.0,普通,31.0
169,前鎮,高雄市,74.0,普通,25.0
170,前金,高雄市,84.0,普通,29.0
171,左營,高雄市,103.0,不良（敏感族群）,37.0
172,楠梓,高雄市,74.0,普通,25.0
173,林園,高雄市,79.0,普通,27.0
174,大寮,高雄市,79.0,普通,27.0
175,鳳山,高雄市,84.0,普通,29.0
176,仁武,高雄市,92.0,普通,32.0
177,橋頭,高雄市,77.0,普通,26.0
178,美濃,高雄市,99.0,普通,35.0
179,臺南,臺南市,59.0,普通,19.0
180,安南,臺南市,49.0,良好,15.0
181,善化,臺南市,57.0,普通,18.0
